"","verbatimIdentification","scientificName"
"1","Carpodacus mexicanus","Haemorhous mexicanus"
"2","Dendroica virens","Setophaga virens"
"3","Parus minor","Parus major"
"4","Picoides villosus","Leuconotopicus villosus"
"5","Sylvia curruca","Curruca curruca"
"6","Dendroica petechia","Setophaga petechia"
"7","Vermivora ruficapilla","Leiothlypis ruficapilla"
"8","Oporornis philadelphia","Geothlypis philadelphia"
"9","Dendroica caerulescens","Setophaga caerulescens"
"10","Dryocopus pileatus","Hylatomus pileatus"
"11","Cettia diphone","Horornis diphone"
"12","Dendroica discolor","Setophaga discolor"
"13","Vermivora pinus","Vermivora cyanoptera"
"14","Wilsonia canadensis","Cardellina canadensis"
"15","Dendroica castanea","Setophaga castanea"
"16","Parus montanus","Poecile montanus"
"17","Sterna albifrons","Sternula albifrons"
"18","Luscinia akahige","Larvivora akahige"
"19","Sylvia communis","Curruca communis"
"20","Corvus corone cornix","Corvus corone"
"21","Dendroica coronata","Setophaga coronata"
"22","Miliaria calandra","Emberiza calandra"
"23","Dendroica cerulea","Setophaga cerulea"
"24","Seiurus motacilla","Parkesia motacilla"
"25","Poecile varius","Sittiparus varius"
"26","Carpodacus purpureus","Haemorhous purpureus"
"27","Egretta intermedia","Ardea intermedia"
"28","Picoides pubescens","Dryobates pubescens"
"29","Regulus calendula","Corthylio calendula"
"30","Luscinia cyane","Larvivora cyane"
"31","Parus palustris","Poecile palustris"
"32","Dendrocopos kizuki","Picoides kizuki"
"33","Parus caeruleus","Cyanistes caeruleus"
"34","Phalacrocorax auritus","Nannopterum auritus"
"35","Zoothera sibirica","Geokichla sibirica"
"36","Parus ater","Periparus ater"
"37","Seiurus noveboracensis","Parkesia noveboracensis"
"38","Sylvia nisoria","Curruca nisoria"
"39","Cyanecula svecica","Luscinia svecica"
"40","Dendroica fusca","Setophaga fusca"
"41","Bonasa bonasia","Tetrastes bonasia"
"42","Dendroica magnolia","Setophaga magnolia"
"43","Dendroica pensylvanica","Setophaga pensylvanica"
"44","Carduelis chloris","Chloris chloris"
"45","Coccothraustes vespertinus","Hesperiphona vespertina"
"46","Carduelis cannabina","Linaria cannabina"
"47","Passer rutilans","Passer cinnamomeus"
"48","Garrulax perspicillatus","Pterorhinus perspicillatus"
"49","Dendrocopos minor","Dryobates minor"
"50","Columba livia f. domestica","Columba livia"
"51","Dendroica pinus","Setophaga pinus"
"52","Carduelis spinus","Spinus spinus"
"53","Corvus corone corone","Corvus corone"
"54","Wilsonia citrina","Setophaga citrina"
"55","Parus cristatus","Lophophanes cristatus"
"56","Delichon urbica","Delichon urbicum"
"57","Tetrao tetrix","Lyrurus tetrix"
"58","Uragus sibiricus","Carpodacus sibiricus"
"59","Sylvia cantillans","Curruca cantillans"
"60","Carduelis flammea cabaret","Acanthis flammea"
"61","Phalacrocorax pelagicus","Urile pelagicus"
"62","Dendrocopos medius","Leiopicus medius"
"63","Saxicola torquata","Saxicola torquatus"
"64","Carduelis flammea","Acanthis flammea"
"65","Regulus ignicapillus","Regulus ignicapilla"
"66","Egretta alba","Ardea alba"
"67","Porzana fusca","Zapornia fusca"
"68","Sylvia conspicillata","Curruca conspicillata"
"69","Psittacula krameri","Alexandrinus krameri"
"70","Sylvia melanocephala","Curruca melanocephala"
"71","Parula americana","Setophaga americana"
"72","Luscinia calliope","Calliope calliope"
"73","Sterna anaethetus","Onychoprion anaethetus"
"74","Sylvia undata","Curruca undata"
"75","Locustella fasciolata","Helopsaltes fasciolatus"
"76","Oporornis formosus","Geothlypis formosa"
"77","Dendroica palmarum","Setophaga palmarum"
"78","Sylvia hortensis","Curruca hortensis"
"79","Luscinia komadori","Larvivora komadori"
"80","Porzana parva","Zapornia parva"
"81","Hirundo daurica","Cecropis daurica"
"82","Dendroica striata","Setophaga striata"
"83","Porzana pusilla","Zapornia pusilla"
"84","Falcipennis canadensis","Canachites canadensis"
"85","Luscinia svecica cyanecula","Luscinia svecica"
"86","Locustella ochotensis","Helopsaltes ochotensis"
"87","Locustella pryeri","Helopsaltes pryeri"
"88","Locustella pleskei","Helopsaltes pleskei"
"89","Phalacrocorax urile","Urile urile"
"90","Dendroica dominica","Setophaga dominica"
"91","Vermivora peregrina","Leiothlypis peregrina"
"92","Picoides dorsalis","Picoides tridactylus"
"93","Dendroica tigrina","Setophaga tigrina"
"94","Sylvia crassirostris","Curruca crassirostris"
"95","Butorides virescens","Butorides striata"
"96","Psittacula eupatria","Palaeornis eupatria"
"97","Anas discors","Spatula discors"
"98","Caprimulgus vociferus","Antrostomus vociferus"
"99","Anas strepera","Mareca strepera"
"100","Anas querquedula","Spatula querquedula"
"101","Ammodramus henslowii","Passerculus henslowii"
"102","Chloris sinica kittlitzi","Chloris sinica"
"103","Anas clypeata","Spatula clypeata"
"104","Wilsonia pusilla","Cardellina pusilla"
"105","Ammodramus caudacutus","Ammospiza caudacuta"
"106","Lonchura oryzivora","Padda oryzivora"
"107","Anas falcata","Mareca falcata"
"108","Ammodramus maritimus","Ammospiza maritima"
"109","Hydropogne caspia","Hydroprogne caspia"
"110","Aquila pomarina","Clanga pomarina"
"111","Coracius garrulus","Coracias garrulus"
"112","Anas americana","Mareca americana"
"113","Phalaropus tricolor","Steganopus tricolor"
"114","Caprimulgus carolinensis","Antrostomus carolinensis"
"115","Nandayus nenday","Aratinga nenday"
"116","Oceanodroma monorhis","Hydrobates monorhis"
"117","Gallirallus okinawae","Hypotaenidia okinawae"
"118","Oceanodroma tristrami","Hydrobates tristrami"
"119","Anas penelope","Mareca penelope"
"120","Luscinia svecica svecica","Luscinia svecica"
"121","Chlidonias hybridus","Chlidonias hybrida"
"122","Mergus albellus","Mergellus albellus"
"123","Charadrius morinellus","Eudromias morinellus"
"124","Leucophaeus atricilla","Larus atricilla"
"125","Pericrocotus divaricatus tegimae","Pericrocotus tegimae"
"126","Sterna fuscata","Onychoprion fuscatus"
"127","Motacilla alba leucopsis","Motacilla alba"
"128","Sapheopipo noguchii","Dendrocopos noguchii"
"129","Oceanodroma leucorhoa","Hydrobates leucorhous"
"130","Sterna bergii","Thalasseus bergii"
"131","Oceanodroma castro","Hydrobates castro"
"132","Ammodramus nelsoni","Ammospiza nelsoni"
